ID Sample	Abundance	TotalKmers	NormalizedExpression	isDenovo
BA2052	281.3181818181818	8977505180.0	31.33589746569011	TRUE
BA2276	14.363636363636363	6675530260.0	2.151684705813372	TRUE
BA2311	103.5	7871316880.0	13.149006904166207	TRUE
BA2357	139.45454545454547	6424574660.0	21.706424601585294	TRUE
BA2361	12.772727272727272	9429462140.0	1.3545552315805016	TRUE
BA2497	119.0909090909091	5429622940.0	21.933550525869315	TRUE
BA2621	12.454545454545457	9022035260.0	1.3804585213453773	TRUE
BA2685	21.045454545454547	9534413560.0	2.207315050161779	FALSE
BA2789	262.09090909090907	8577039800.0	30.55726861508898	FALSE
BA2872	19.045454545454547	7110503820.0	2.678495789832027	FALSE
BA2995	167.3181818181818	8150876300.0	20.527631098779135	FALSE
BA2590	371.04545454545456	9138029180.0	40.604538159885216	TRUE
BA3135	186.54545454545453	8084012720.0	23.07584871606369	TRUE
BA3185	13.909090909090908	11798494864.0	1.1788868893379643	TRUE
BA3234	15.727272727272728	14621506900.0	1.0756259826593337	TRUE
BA3305	13.954545454545457	9840911264.0	1.4180135436841041	TRUE
BA3310	81.0909090909091	8566527900.0	9.466018209187071	TRUE
BA3329	36.36363636363637	13249999268.0	2.7444255375513857	FALSE
BA2035	261.86206896551727	6217670060.0	42.11578717406521	TRUE
BA2046	99.58620689655172	8350758220.0	11.925408959637165	TRUE
BA2195	246.20689655172413	6109572840.0	40.298545086455526	FALSE
BA2286	275.0	8101217600.0	33.94551456067542	TRUE
BA2496	247.8275862068965	5463355520.0	45.36179007565236	FALSE
BA2667	215.9655172413793	7201538960.0	29.988800788405275	FALSE
BA2846	335.3103448275862	7137672640.0	46.97754600687126	FALSE
BA2880	24.58620689655172	8448479900.0	2.910133797744103	FALSE
BA3207	236.20689655172413	12702108314.0	18.595881149224795	FALSE
BA3333	572.9310344827586	13449110920.0	42.59991890101524	FALSE
BA3334	167.20689655172413	8174919480.0	20.453644462284554	TRUE
BA2104	102.0	5411533960.0	18.848629751553847	FALSE
BA2276	257.51724137931035	6675530260.0	38.57629751487492	TRUE
BA2361	37.51724137931034	9429462140.0	3.978725490625952	TRUE
BA2538	184.7586206896552	7400454460.0	24.96584793383827	FALSE
BA2621	241.41379310344828	9022035260.0	26.758240923062882	TRUE
BA2685	369.3793103448276	9534413560.0	38.741691664655214	FALSE
BA2836	154.6551724137931	6410103420.0	24.12678271792893	TRUE
BA2872	56.44827586206897	7110503820.0	7.938716761995773	FALSE
BA2590	12.620689655172416	9138029180.0	1.3811172416471116	TRUE
BA3185	248.31034482758625	11798494864.0	21.04593405259173	TRUE
BA3234	290.86206896551727	14621506900.0	19.89275598984379	TRUE
BA3305	255.0	9840911264.0	25.91223446276164	TRUE
BA3329	642.8965517241379	13249999268.0	48.520497150274856	FALSE
BA2006	22.448275862068964	8173045860.0	2.746623015041906	TRUE
BA2089	219.5862068965517	11437437620.0	19.19889875618414	FALSE
BA2109	231.68965517241375	8011330880.0	28.920245417751833	TRUE
BA2162	430.9310344827586	7355165580.0	58.588896442323005	TRUE
BA2229	287.58620689655174	9053482760.0	31.76525703093643	FALSE
BA2233	285.0344827586207	7814986760.0	36.47280430691615	TRUE
BA2347	247.24137931034485	7859984720.0	31.45570737322564	FALSE
BA2472	126.93103448275862	7895416060.0	16.07654790047361	TRUE
BA2489	322.55172413793105	5952864820.0	54.184285027646744	FALSE
BA2520	245.89655172413796	4687716880.0	52.455504037210105	FALSE
BA2583	348.51724137931035	6892596340.0	50.56400000631842	FALSE
BA2843	226.0344827586207	6993952140.0	32.31856298613744	TRUE
BA2867	236.41379310344828	8098344800.0	29.192853470927574	FALSE
BA3010	163.9655172413793	6930773640.0	23.657606748989036	FALSE
BA2971	312.8965517241379	9208329900.0	33.979728693705674	FALSE
BA3123	180.6551724137931	8557945340.0	21.109643172106672	FALSE
BA3124	44.89655172413793	8443221500.0	5.3174670028659	TRUE
BA3181	82.3103448275862	7815738700.0	10.53135832542434	TRUE
BA3195	267.7241379310345	8965945660.0	29.860111591512197	FALSE
BA3199	779.4827586206897	12334715122.0	63.194224666803755	FALSE
BA3206	18.17241379310345	9269706180.0	1.9604088242097277	TRUE
BA3277	437.13793103448273	8901401880.0	49.10888609766743	TRUE
BA3290	362.5172413793104	12933259606.0	28.02984339780293	FALSE
BA3345	133.20689655172413	9900148300.0	13.455040522142898	FALSE
BA3405	194.24137931034485	9354164260.0	20.76523074765258	TRUE
