ID_sample	TypeMutation	ExpressionGene
BA2022	mut3	6.15311168314809
BA2024	mut3	6.07479305709891
BA2053	mut3	7.50105244518025
BA2065	mut3	8.25974759702626
BA2080	mut3	8.30255392241405
BA2125	mut3	7.24473994098098
BA2135	mut3	7.52987979374564
BA2198	mut3	6.53495824677914
BA2200	mut3	6.80486837491
BA2256	mut3	7.01129464656936
BA2286	mut3	8.5872495962732
BA2292	mut3	5.99724316529864
BA2308	mut3	7.60989112051761
BA2309	mut3	7.13359161213086
BA2360	mut3	7.94635895319707
BA2375	mut3	7.47830743039593
BA2377	mut3	6.32635613681556
BA2413	mut3	7.69420627031986
BA2414	mut3	8.45696872743274
BA2450	mut3	5.06562997256811
BA2452	mut3	9.0271917203024
BA2454	mut3	7.15951987646114
BA2474	mut3	7.37771038448057
BA2488	mut3	7.52428329559334
BA2502	mut3	5.85381815948029
BA2539	mut3	4.04879675825088
BA2541	mut3	7.62080780455831
BA2639	mut3	8.95438322249582
BA2646	mut3	7.53867754134672
BA2701	mut3	6.3314194986068
BA2722	mut3	7.10612705087253
BA2728	mut3	6.63655252284443
BA2756	mut3	6.19822146547957
BA2789	mut3	8.25344779136567
BA2804	mut3	5.98220791058853
BA2806	mut3	7.51084212363206
BA2813	mut3	6.33918453468976
BA2872	mut3	6.41806054956223
BA2921	mut3	9.60422004710875
BA2947	mut3	6.64131489127646
BA2948	mut3	7.64255001400601
BA2951	mut3	6.73467335194796
BA2962	mut3	6.10621461216555
BA2993	mut3	6.26748667871903
BA3023	mut3	5.91320591729895
BA3030	mut3	7.15557221270197
BA3040	mut3	7.90803356905227
BA2590	mut3	7.03196402344294
BA3084	mut3	6.95213438220586
BA3094	mut3	5.75137733831877
BA3108	mut3	9.03429954865997
BA3123	mut3	8.23632115552463
BA3136	mut3	6.65069612456278
BA3158	mut3	7.45963779857083
BA3183	mut3	7.48057619109315
BA3187	mut3	6.4417602152858
BA3189	mut3	7.06371663624663
BA3190	mut3	5.36221790332293
BA3194	mut3	6.63330728837913
BA3195	mut3	7.83268389248944
BA3199	mut3	7.59808663804993
BA3206	mut3	9.08862153045619
BA3217	mut3	4.81514527019492
BA3227	mut3	7.40017541649469
BA3228	mut3	7.17116786854616
BA3240	mut3	7.69023500088856
BA3277	mut3	6.44947039282618
BA3311	mut3	5.94099029232779
BA3315	mut3	5.33868120504246
BA3325	mut3	7.39829394317713
BA3333	mut3	6.99516443206292
BA3385	mut3	6.84596201012783
BA3397	mut3	7.35390839708449
BA3405	mut3	5.70948396756837
BA3406	mut3	6.73404028171299
BA3410	mut3	6.36512999451549
BA3422	mut3	5.54020534264446
BA3427	mut3	7.66369633945432
BA2830	mut4	7.40017541649469
BA2944	mut4	6.94758145894243
BA3038	mut4	7.71347289714959
BA2353	mut4	8.40664550150058
BA2184	mut6	8.44966638628301
BA2244	mut6	8.04591780353771
BA2300	mut6	6.90492530830845
BA2449	mut6	6.87788091401863
BA2482	mut6	8.51425498508966
BA2587	mut6	8.15284092667829
BA2924	mut6	6.97518866229435
BA3083	mut6	6.25491135905161
BA3158	mut6	7.45963779857083
BA3192	mut6	8.52190108216259
BA3232	mut6	7.12266775163133
BA3310	mut6	8.2618544484033
BA2409	NonMut	6.89778124838191
BA3037	NonMut	5.49725940478877
BA2496	NonMut	5.51241676925768
BA2172	NonMut	4.37272792121348
BA2865	NonMut	8.38563253120242
BA2923	NonMut	-1.83754692529431
BA2751	NonMut	2.3627073872351
BA2480	NonMut	5.00103650264355
BA2922	NonMut	9.77539354132974
BA3379	NonMut	8.66689198102969
BA2887	NonMut	8.0301567645062
BA2712	NonMut	0.402949581289092
BA2068	NonMut	6.7421473941764
BA2236	NonMut	8.09435501163422
BA2104	NonMut	0.598455727053896
BA3124	NonMut	6.29048213777498
BA3395	NonMut	6.84399982384708
BA2003	NonMut	5.06527754778608
BA2802	NonMut	9.09230819306279
BA2235	NonMut	8.0044307958278
BA2858	NonMut	6.02698748997862
BA3006	NonMut	5.2871864159011
BA2245	NonMut	9.85077214115986
BA2667	NonMut	8.75396729152058
BA2239	NonMut	5.0610421966443
BA2782	NonMut	5.3063518272781
BA2649	NonMut	6.45042558800672
BA2861	NonMut	7.79956921933088
BA2909	NonMut	6.47866220517702
BA2429	NonMut	6.57560815980456
BA2653	NonMut	0.779913057719338
BA2134	NonMut	6.16187946786899
BA2032	NonMut	6.53646349390772
BA2162	NonMut	8.27031665707811
BA2564	NonMut	6.76240903317338
BA2597	NonMut	5.54658259376352
BA3243	NonMut	7.38062061343463
BA2106	NonMut	7.77713213848426
BA2427	NonMut	5.71100608100859
BA2841	NonMut	6.71667600372627
BA2446	NonMut	2.69090003434147
BA2645	NonMut	10.0958725482412
BA2525	NonMut	4.05402094746754
BA2876	NonMut	6.00881830211778
BA2357	NonMut	5.46954197713849
BA2546	NonMut	6.5518017021576
BA2742	NonMut	3.1321279031107
BA2316	NonMut	3.27431420538309
BA2421	NonMut	1.76094876809065
BA2087	NonMut	8.58375614592974
BA2910	NonMut	7.45571345371651
BA2148	NonMut	7.71472395965624
BA2063	NonMut	2.4375086335962
BA2329	NonMut	6.61117532741348
BA3178	NonMut	6.71780036034788
BA2072	NonMut	7.31397253852267
BA3029	NonMut	6.52375465899181
BA2995	NonMut	5.70643173596218
BA2069	NonMut	4.07958610816328
BA2100	NonMut	5.76256437697443
BA2681	NonMut	6.69356109841864
BA2248	NonMut	5.93163668749835
BA2832	NonMut	7.30411511402805
BA2634	NonMut	6.86903485569995
BA2677	NonMut	6.69580577134555
BA2937	NonMut	7.32489473499785
BA2600	NonMut	5.59027419096801
BA2019	NonMut	-0.780448523359928
BA2412	NonMut	5.79950973684786
BA2334	NonMut	4.93436696034119
BA2050	NonMut	6.1180523945273
BA3230	NonMut	6.93827202821145
BA2953	NonMut	6.81086164089737
BA2481	NonMut	5.46628439479905
BA2731	NonMut	6.4137172012398
BA2294	NonMut	8.904319577833
