#Résultats bruts de l'abondance de mutation du gène SF3B1 selon la feature manuscript_inhibitor, normalisée par le gène de ménage TBP.
#Test d'hypothèse de différence significative entre les moyennes des groupes
#p-value = 0.007988 avec le test Mann-Whitney
 Abundance   TotalKmers  NormalizedExpression manuscript_inhibitor
 35.172414 7.093041e+09              4.958721                   no
113.034483 9.666895e+09             11.692947                   no
146.551724 8.864826e+09             16.531822                   no
487.724138 1.077170e+10             45.278294                  yes
112.103448 6.623305e+09             16.925606                  yes
 15.931034 8.684668e+09              1.834386                   no
189.379310 1.071934e+10             17.667066                  yes
182.896552 6.648353e+09             27.510055                  yes
137.965517 8.251345e+09             16.720368                   no
438.827586 1.293326e+10             33.930161                  yes
414.000000 1.333923e+10             31.036277                  yes
 21.379310 5.743500e+09              3.722349                  yes
193.379310 8.448480e+09             22.889243                  yes
385.068966 1.249729e+10             30.812198                  yes
262.068966 8.504459e+09             30.815476                  yes
171.586207 8.115899e+09             21.141984                  yes
418.275862 1.458903e+10             28.670570                  yes
106.724138 4.588512e+09             23.258985                  yes
299.103448 8.031214e+09             37.242621                  yes
269.758621 8.793963e+09             30.675432                  yes
290.724138 9.451593e+09             30.759275                   no
385.241379 7.373008e+09             52.250231                  yes
